Day,Time,Occupancy,Consumption
1,1,0,17.521473
1,2,0,11.97321625
1,3,0,14.02412308
1,4,0,11.08778917
1,5,0,17.0387425
1,6,0,16.104187
1,7,0,18.00504725
1,8,1,25.07197433
1,9,1,29.26934567
1,10,1,25.56559283
1,11,1,38.167782
1,12,1,28.9644155
1,13,1,26.57842958
1,14,1,38.83902975
1,15,1,28.79049883
1,16,1,26.879859
1,17,1,23.9058505
1,18,1,31.335855
1,19,1,23.777832
1,20,1,23.29082617
1,21,0,24.2355975
1,22,0,20.91609283
1,23,0,24.52427242
1,24,0,15.45072658
2,1,0,17.521473
2,2,0,11.97321625
2,3,0,14.02412308
2,4,0,11.08778917
2,5,0,17.0387425
2,6,0,16.104187
2,7,0,18.00504725
2,8,1,25.07197433
2,9,1,29.26934567
2,10,1,25.56559283
2,11,1,38.167782
2,12,1,28.9644155
2,13,1,26.57842958
2,14,1,38.83902975
2,15,1,28.79049883
2,16,1,26.879859
2,17,1,23.9058505
2,18,1,31.335855
2,19,1,23.777832
2,20,1,23.29082617
2,21,0,24.2355975
2,22,0,20.91609283
2,23,0,24.52427242
2,24,0,15.45072658
3,1,0,17.521473
3,2,0,11.97321625
3,3,0,14.02412308
3,4,0,11.08778917
3,5,0,17.0387425
3,6,0,16.104187
3,7,0,18.00504725
3,8,1,25.07197433
3,9,1,29.26934567
3,10,1,25.56559283
3,11,1,38.167782
3,12,1,28.9644155
3,13,1,26.57842958
3,14,1,38.83902975
3,15,1,28.79049883
3,16,1,26.879859
3,17,1,23.9058505
3,18,1,31.335855
3,19,1,23.777832
3,20,1,23.29082617
3,21,0,24.2355975
3,22,0,20.91609283
3,23,0,24.52427242
3,24,0,15.45072658
4,1,0,17.521473
4,2,0,11.97321625
4,3,0,14.02412308
4,4,0,11.08778917
4,5,0,17.0387425
4,6,0,16.104187
4,7,0,18.00504725
4,8,1,25.07197433
4,9,1,29.26934567
4,10,1,25.56559283
4,11,1,38.167782
4,12,1,28.9644155
4,13,1,26.57842958
4,14,1,38.83902975
4,15,1,28.79049883
4,16,1,26.879859
4,17,1,23.9058505
4,18,1,31.335855
4,19,1,23.777832
4,20,1,23.29082617
4,21,0,24.2355975
4,22,0,20.91609283
4,23,0,24.52427242
4,24,0,15.45072658
5,1,0,17.521473
5,2,0,11.97321625
5,3,0,14.02412308
5,4,0,11.08778917
5,5,0,17.0387425
5,6,0,16.104187
5,7,0,18.00504725
5,8,1,25.07197433
5,9,1,29.26934567
5,10,1,25.56559283
5,11,1,38.167782
5,12,1,28.9644155
5,13,1,26.57842958
5,14,1,38.83902975
5,15,1,28.79049883
